case,function,dt,horizon,initial_X,final_X,T,norm,initial_U,max_U,trajectory
predictor,run_inexact_predictor,0.002,0.45,"[1.0, 1.0]","[0.00013773920994210044, 0.008547917031927903]",10.0,0.008549026709203721,"[-11.60005363068272, -29.354020964178627]","[11.60005363068272, 29.354020964178627]",00-predictor.csv
predictor,run_inexact_predictor,0.001,0.45,"[1.0, 1.0]","[0.0003838190021573233, 0.015455145319087212]",10.0,0.015459910538567821,"[-11.600561069165984, -29.35585393322632]","[11.600561069165984, 29.35585393322632]",01-predictor.csv
predictor,run_inexact_predictor,0.0005,0.45,"[1.0, 1.0]","[0.0005032264778110275, 0.016140921459838444]",10.0,0.01614876411557997,"[-11.600813879597744, -29.356768476174736]","[11.600813879597744, 29.356768476174736]",02-predictor.csv
uncompensated,run_uncompensated,0.001,,"[1.0, 1.0]","[-23404.91444306425, -1132.1185330287572]",10.0,23432.279284354405,"[-8.0, -20.0]","[338010.73397232784, 724448.876294398]",03-uncompensated.csv
delay-free,run_delay_free,0.001,,"[1.0, 1.0]","[0.0002210662730167202, -0.00019523601267833858]",10.0,0.00029493626042255205,"[-8.0, -20.0]","[8.0, 20.0]",04-delay-free.csv
horizon-sweep,run_inexact_predictor,0.002,0.4,"[1.0, 1.0]","[0.003482665919144958, -0.07237998265313364]",10.0,0.07246372092828453,"[-11.176562392096557, -28.232157159495358]","[11.176562392096557, 28.232157159495358]",05-horizon-sweep.csv
horizon-sweep,run_inexact_predictor,0.002,0.42,"[1.0, 1.0]","[0.0004148250148302781, -0.0006515973259109288]",10.0,0.000772436967048583,"[-11.3457827819329, -28.67950579439765]","[11.3457827819329, 28.67950579439765]",06-horizon-sweep.csv
horizon-sweep,run_inexact_predictor,0.002,0.48,"[1.0, 1.0]","[-0.03542086170299967, 0.31541696946779646]",10.0,0.3173995936859905,"[-11.854438938290244, -30.031856222445548]","[11.854438938290244, 30.031856222445548]",07-horizon-sweep.csv
horizon-sweep,run_inexact_predictor,0.002,0.5,"[1.0, 1.0]","[-8.316714888191058e-05, -1.314317312208532]",10.0,1.3143173148398506,"[-12.023848773325605, -30.485074821927]","[12.023848773325605, 30.485074821927]",08-horizon-sweep.csv
